region_cd,sido,sigungu,dong_road,ri,latitude,longitude
1111010100,서울특별시,종로구,청운동,,37.5891974378629,126.969329763593
1111010200,서울특별시,종로구,신교동,,37.5844902776103,126.967923271581
1111010300,서울특별시,종로구,궁정동,,37.5846825915784,126.973144784748
1111010400,서울특별시,종로구,효자동,,37.5826496685118,126.971931855344
1111010500,서울특별시,종로구,창성동,,37.580545072399,126.972462474485
1111010600,서울특별시,종로구,통의동,,37.5780584194585,126.972852824323
1111010700,서울특별시,종로구,적선동,,37.5752799608429,126.973773044297
1111010800,서울특별시,종로구,통인동,,37.5801444847072,126.97021199276
1111010900,서울특별시,종로구,누상동,,37.5800268845222,126.962264659143
1111011000,서울특별시,종로구,누하동,,37.5792826296465,126.968274190814
1111011100,서울특별시,종로구,옥인동,,37.5835230926996,126.963385995622
1111011200,서울특별시,종로구,체부동,,37.5775894297459,126.970869610418
1111011300,서울특별시,종로구,필운동,,37.5778012532177,126.967749538039
1111011400,서울특별시,종로구,내자동,,37.5753047140659,126.971717261861
1111011500,서울특별시,종로구,사직동,,37.5754222287938,126.96631967084
1111011600,서울특별시,종로구,도렴동,,37.5731610122675,126.974647692606
1111011700,서울특별시,종로구,당주동,,37.5715715163221,126.974000740279
1111011800,서울특별시,종로구,내수동,,37.5733081682464,126.971962529742
1111011900,서울특별시,종로구,세종로,,37.5801928107016,126.976778199977
1111012000,서울특별시,종로구,신문로1가,,37.5701731498046,126.973901614207
1111012100,서울특별시,종로구,신문로2가,,37.5706622933598,126.969722233416
1111012200,서울특별시,종로구,청진동,,37.5714393638425,126.98015420508
1111012300,서울특별시,종로구,서린동,,37.5695112747648,126.980399217074
1111012400,서울특별시,종로구,수송동,,37.5736775113542,126.980610942957
1111012500,서울특별시,종로구,중학동,,37.5752847227306,126.979641505392
1111012600,서울특별시,종로구,종로1가,,37.5702572573332,126.980149990907
1111012700,서울특별시,종로구,공평동,,37.5712668379625,126.983147187221
1111012800,서울특별시,종로구,관훈동,,37.5741286083153,126.984690612471
1111012900,서울특별시,종로구,견지동,,37.5731913510519,126.9830607214
1111013000,서울특별시,종로구,와룡동,,37.582342736821,126.991214588966
1111013100,서울특별시,종로구,권농동,,37.5743239285347,126.991763428362
1111013200,서울특별시,종로구,운니동,,37.5763742920418,126.98822214942
1111013300,서울특별시,종로구,익선동,,37.5743345779564,126.989694095817
1111013400,서울특별시,종로구,경운동,,37.5751883855305,126.98638391579
1111013500,서울특별시,종로구,관철동,,37.5691048202297,126.985986580353
1111013600,서울특별시,종로구,인사동,,37.5717032982693,126.986049484352
1111013700,서울특별시,종로구,낙원동,,37.5725577161916,126.988607627918
1111013800,서울특별시,종로구,종로2가,,37.570889038138,126.988250180457
1111013900,서울특별시,종로구,팔판동,,37.5828099987492,126.980676503591
1111014000,서울특별시,종로구,삼청동,,37.584997782564,126.981758302922
1111014100,서울특별시,종로구,안국동,,37.5773864591263,126.983607690836
1111014200,서울특별시,종로구,소격동,,37.5796241227762,126.980908275257
1111014300,서울특별시,종로구,화동,,37.5806911752016,126.982696745397
1111014400,서울특별시,종로구,사간동,,37.577252619494,126.980379075036
1111014500,서울특별시,종로구,송현동,,37.5767591093554,126.981846349157
1111014600,서울특별시,종로구,가회동,,37.5800968068428,126.984784487479
1111014700,서울특별시,종로구,재동,,37.578302085465,126.985246741088
1111014800,서울특별시,종로구,계동,,37.5824324365828,126.986903381874
1111014900,서울특별시,종로구,원서동,,37.5839318329341,126.988266245452
1111015000,서울특별시,종로구,훈정동,,37.5743637157987,126.994172362099
1111015100,서울특별시,종로구,묘동,,37.572406610134,126.991745527678
1111015200,서울특별시,종로구,봉익동,,37.5721652242241,126.992995267432
1111015300,서울특별시,종로구,돈의동,,37.5719704528881,126.990726790606
1111015400,서울특별시,종로구,장사동,,37.5692172240881,126.994023346762
1111015500,서울특별시,종로구,관수동,,37.5690620186847,126.99046001346
1111015600,서울특별시,종로구,종로3가,,37.5703884202892,126.992329841579
1111015700,서울특별시,종로구,인의동,,37.5723311920992,126.997668102599
1111015800,서울특별시,종로구,예지동,,37.5696210091493,126.998302077982
1111015900,서울특별시,종로구,원남동,,37.5755207102283,126.997495933473
1111016000,서울특별시,종로구,연지동,,37.5737475791242,127.000131313214
1111016100,서울특별시,종로구,종로4가,,37.5707454633722,126.999764551274
1111016200,서울특별시,종로구,효제동,,37.5725942661178,127.003056381131
1111016300,서울특별시,종로구,종로5가,,37.5706048556462,127.003527196401
1111016400,서울특별시,종로구,종로6가,,37.5718912859017,127.007584281884
1111016500,서울특별시,종로구,이화동,,37.5769946840179,127.004338052474
1111016600,서울특별시,종로구,연건동,,37.5786742164882,126.999669431165
1111016700,서울특별시,종로구,충신동,,37.57494755381,127.00595899872
1111016800,서울특별시,종로구,동숭동,,37.5813770980378,127.004872670199
1111016900,서울특별시,종로구,혜화동,,37.5868624440018,127.00060686405
1111017000,서울특별시,종로구,명륜1가,,37.589107692137,126.997468304522
1111017100,서울특별시,종로구,명륜2가,,37.584696454401,126.999030857136
1111017200,서울특별시,종로구,명륜4가,,37.582231340528,127.00007245689
1111017300,서울특별시,종로구,명륜3가,,37.5895652203261,126.993075159072
1111017400,서울특별시,종로구,창신동,,37.5752245135613,127.012828195947
1111017500,서울특별시,종로구,숭인동,,37.5745280159937,127.019597569646
1111017600,서울특별시,종로구,교남동,,37.5683831622413,126.964634002163
1111017700,서울특별시,종로구,평동,,37.5678972658597,126.966843743393
1111017800,서울특별시,종로구,송월동,,37.5700627844638,126.9651946575
